,URL_ID,URL,positive_score,negative_score,polarity_score,subjectivity_score,average_sentence_length,percentage_of_complex_words,fog_index,avg_word_per_sentence,complex_word_count,word_count,syllable_per_word,num_of_personal_pronouns,average_word_length
0,1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,14,9,0.143040493,0.143040493,14,0.32326284,5.729305136,25.81481481,107,331,1233,4,5.100864553
1,2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,21,3,0.177208243,0.177208243,11,0.388157895,4.555263158,22.28571429,118,304,1183,2,5.300160514
2,3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,63,20,0.140906593,0.140906593,11,0.416569428,4.566627771,22.86842105,357,857,3312,13,5.36154289
3,4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,11,0,0.077056079,0.077056079,15,0.375586854,6.150234742,30.28571429,80,213,807,1,5.299528302
4,5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,44,13,0.057676989,0.057676989,8,0.399617591,3.359847036,18.57575758,209,523,2201,27,4.926590538
5,6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,38,13,0.145611516,0.145611516,12,0.474264706,4.989705882,21.36538462,258,544,2158,3,5.407775769
6,7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,52,39,0.09453543,0.09453543,12,0.402506964,4.961002786,21.86666667,289,718,2582,1,5.527439024
7,8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,55,15,0.101138678,0.101138678,13,0.400630915,5.360252366,20.75294118,381,951,3350,9,5.313960114
8,9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,66,9,0.110745739,0.110745739,10,0.361647362,4.144658945,19.61038961,281,777,2853,3,5.21537442
9,10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,24,23,-0.015456989,-0.015456989,7,0.424892704,2.969957082,14.7,99,233,1071,2,4.957118353
